filename,Face Mask,Gloves,Helmet,No Gloves,No Helmet,No Mask
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\-1x-1_jpg.rf.3e4c7a616cc0a85e0f1ca4ade093633b.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\-1x-1_jpg.rf.75caff8fd279c12e8012ac0e8aeb7d7b.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\-1x-1_jpg.rf.d7ff3a340c84fabd8714c1332188feb1.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\-I1-MS09uaqsLdGTFkgnS0Rcg1mmPyAj95ySg_eckoM_jpeg_jpg.rf.0d9948ff9e7d26674ee80e20dc923837.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\-I1-MS09uaqsLdGTFkgnS0Rcg1mmPyAj95ySg_eckoM_jpeg_jpg.rf.338f0580c64bb9b8a0872b37856eba27.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\-I1-MS09uaqsLdGTFkgnS0Rcg1mmPyAj95ySg_eckoM_jpeg_jpg.rf.fc51f895e5f853cdb4d08c370c8e0407.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0002526673_jpg.rf.5d9f70dd640245e0c8b6049df6a9c6a6.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0002526673_jpg.rf.6e945c107585eff17c43d29dabf5441f.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0002526673_jpg.rf.b7ead225d87ecea4394a0c6b1c3e5d99.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0009S6815V3PEU1N-C123-F4_jpg.rf.0e60a00f60bb13329fac2be9f5ecce9e.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0009S6815V3PEU1N-C123-F4_jpg.rf.4662e05a7fff9b63efe4fb92ba3d2ee3.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0009S6815V3PEU1N-C123-F4_jpg.rf.76d1593f303ce89e1450e9939693a8d1.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0009S6815V3PEU1N-C123-F4_jpg.rf.9e7bbd6387816a8ad3027e2054457800.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0009S6815V3PEU1N-C123-F4_jpg.rf.e01d56b06cb86d8d9d5a3bfab2f89196.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\0009S6815V3PEU1N-C123-F4_jpg.rf.fc0acce2ae0dfa652080087407b37311.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1OC3DT_jpg.rf.2a33af4220be47cb9cab208b86769725.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1OC3DT_jpg.rf.53600beb2feea40046437c8f69b2ccdb.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1OC3DT_jpg.rf.60e46429015c949b1e5cdbff57f3f356.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1ov3n5_0_jpeg_jpg.rf.07a0f47ee332f2044aae063abb3e4b06.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1ov3n5_0_jpeg_jpg.rf.18bb9a48f96ec1a011d389424b304d19.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1ov3n5_0_jpeg_jpg.rf.274acbdd415cd60978bf83491339406c.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1ov3n5_0_jpeg_jpg.rf.66abc8456d62528290389c5ccf95472d.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1ov3n5_0_jpeg_jpg.rf.cd37844bb84e8b55d3b9455d51006943.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\000_1ov3n5_0_jpeg_jpg.rf.f2aaf554b5317ee687512fa18fdb1977.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\002_1024_jpeg_jpg.rf.01a3ff0d1a76d4936462d2edbe0fe6f2.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\002_1024_jpeg_jpg.rf.0910cec8400c8506cd828bc4824a1cf7.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\002_1024_jpeg_jpg.rf.2ccd96576a8908c6312066d270c03928.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\002_1024_jpeg_jpg.rf.58780fcdf728a7cdf2035df983439744.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\002_1024_jpeg_jpg.rf.852b05b3565cfe454b495deec28e6b4d.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\002_1024_jpeg_jpg.rf.e0bc2a0bd91b276ccd6e01bb797cf8e4.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\003_1024_jpeg_jpg.rf.41919119a978895513bde60d086f0f38.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\003_1024_jpeg_jpg.rf.55badd8695a46101c00f61e9879838d3.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\003_1024_jpeg_jpg.rf.6d491207887994385c1c8241c19b674d.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\003_1024_jpeg_jpg.rf.c5d98155d78740fd7be7c91dfcd9b203.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\003_1024_jpeg_jpg.rf.d673577d6d8e9d4bb39220ecee6dfc96.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\003_1024_jpeg_jpg.rf.d7020b3c50606202ec1c64fb7f18fb57.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\004_1024_jpeg_jpg.rf.4b4ddc486fb28722a6de942e68860d00.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\004_1024_jpeg_jpg.rf.883e7d78622eb1ddaf9864df25bed933.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\004_1024_jpeg_jpg.rf.b587f0b4ee16925e3749d0b8e3ebb1c2.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\004_1024_jpeg_jpg.rf.b6b468e4147d802500c44ada36b67ad9.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\004_1024_jpeg_jpg.rf.b6b5e183793b22d070ee7f5bfcafd4ec.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\004_1024_jpeg_jpg.rf.ebb9b12b1d7ac18e412947194ac33447.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005300_jpg.rf.51e70a897dba7aa81b78dac3ba235832.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005300_jpg.rf.6f047a013c1ef5f0d889dcd696febbdd.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005300_jpg.rf.d284be9f25f73a1ab8fb0be36daf48eb.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005303_jpg.rf.0320eac737265f3cfef1354a9cea38de.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005303_jpg.rf.745a129025cf22160363b63d3f8b7355.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005303_jpg.rf.d429efec0df63ee146ca50abd6484bdd.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005304_jpg.rf.228f5613fef0d6f46552144984732f9e.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005304_jpg.rf.5909596e2f6999b0ab6890c8b511be8d.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005304_jpg.rf.9b7a61ae9f59555ea38933006f2009ff.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005306_jpg.rf.344a15e3c7a1e385e0f0af705b9db671.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005306_jpg.rf.5876bb63352ae605a45096bfc242bec4.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005306_jpg.rf.6da2880b6d7493a146c5abaa19c84a65.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005307_jpg.rf.271f52660fda2982495e11dc73486f99.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005307_jpg.rf.b198ac7c529aa692bdb3565539380840.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005307_jpg.rf.d7f5a4fe0d9d0583ecbefdaace588964.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005309_jpg.rf.36445dfe9c265c138fb2f2109e6b0814.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005309_jpg.rf.5c146f71a5f27d83ee48b2d50217cbb9.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005309_jpg.rf.e37619ff71bb29a36de591b0659cbc7d.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005311_jpg.rf.2ee4024c705f5897bec712b020523563.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005311_jpg.rf.a0a33d4e32eebc8d1e44740aef2a4fd3.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005311_jpg.rf.e3577afc09469a8c602b8726abd9e9dd.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005314_jpg.rf.3843fdfaa8e8f8bcf27e6d746b9064b4.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005314_jpg.rf.3c37d54d95332d36de3a5b0847945a7f.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005314_jpg.rf.6317447feaf6efaf9474819883129d86.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005316_jpg.rf.94c26235fa5953c0a59c632df6310219.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005316_jpg.rf.b5aff1dfe1abe3e2c5e40d3bcbc95eac.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005316_jpg.rf.ea9bf60fa1d8cd69ba5fbec0d87cfa1e.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005317_jpg.rf.055e1d25b7176c80ee0a909d5822977b.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005317_jpg.rf.a2f959681a936354545e94409017bdb5.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005317_jpg.rf.f7b0ca9045e46fd906d557924f55598e.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005319_jpg.rf.5652a27bf2e69e9be93dc05e0e906b72.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005319_jpg.rf.6f9770dc73a7c8217e2d3685d1d8e4b8.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005319_jpg.rf.efe0e4057206a0f5fe419abf3e2698fc.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005320_jpg.rf.48ec4dc225a6c598a679d6b144e8ae82.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005320_jpg.rf.834aedab4c23d02030186790f6bfc968.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005320_jpg.rf.e76a13cdfab030868e7aad9329e5f149.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005321_jpg.rf.216317402b5ffc3469a6766ded60e8f9.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005321_jpg.rf.b1f8d4fb317647375c1bc557c54cf435.jpg,0,0,0,0,0,0
C:\Users\sj123\Doit_DeepLearning\2025_딥러닝_전선\PPE_Data\raw\train\005321_jpg.rf.eac578f26b2c6ffcb3c6d42e9c70832e.jpg,0,0,0,0,0,0
